Variable:,tas
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1992,-5.00,1.77,2.34,-2.13,3.51,-2.99,-8.31,5.28,-14.71,-0.23,4.85,-4.04,0.84,-5.80
1993,-4.63,1.75,2.18,-2.18,3.55,-2.81,-7.35,5.29,-14.29,0.08,4.87,-3.47,0.34,-4.15
1994,-4.43,1.21,2.04,-1.72,4.03,-1.93,-7.89,6.10,-13.43,0.56,5.64,-2.91,0.40,-5.69
1995,-4.43,0.96,1.88,-1.95,4.29,-1.59,-8.04,6.08,-13.56,0.52,5.65,-2.45,0.27,-5.17
1996,-5.27,-1.07,-0.16,-3.36,4.47,-0.76,-9.05,6.11,-13.58,-0.39,5.87,-2.26,-1.60,-7.76
1997,-4.31,1.67,2.22,-1.53,3.44,-1.89,-7.58,5.37,-13.52,0.33,4.93,-2.90,0.85,-4.93
1998,-2.86,2.55,2.69,0.10,5.39,-0.41,-5.97,7.10,-12.01,2.65,6.77,-1.02,2.01,-4.58
1999,-3.35,2.24,2.01,0.06,5.97,0.31,-7.25,7.71,-12.93,2.26,7.50,-0.71,1.77,-5.87
2000,-4.29,0.92,1.48,-1.69,4.36,-0.65,-7.92,6.36,-13.42,0.71,5.97,-2.04,0.29,-5.21
2001,-3.38,2.23,1.83,-0.13,4.99,-0.31,-7.13,6.60,-12.79,2.13,6.25,-1.01,1.82,-4.94
2002,-4.50,0.66,1.59,-2.14,4.13,-1.97,-7.98,5.97,-13.45,0.77,5.54,-2.75,-0.10,-4.75
2003,-4.00,1.36,2.08,-1.32,3.99,-1.00,-7.59,5.84,-12.62,0.57,5.50,-2.29,0.63,-5.05
2004,-4.94,1.01,2.43,-2.80,3.74,-0.99,-9.11,5.59,-14.71,0.01,5.24,-2.77,-0.21,-5.36
2005,-3.41,2.18,2.56,-0.75,4.64,-0.33,-7.06,6.46,-12.61,1.60,6.13,-1.36,1.39,-4.24
2006,-2.76,2.57,2.10,0.25,5.80,0.64,-6.44,7.52,-11.42,2.48,7.19,-0.36,2.04,-5.56
